Наименование	Фото	Состав	Производство	Цена	Тип шампуня	 кожи приоритетный	 альтертанивный
Angel Professional Color Protect Shampoo Шампунь защита цвета для окрашенных волос		Aqua, Coco Glucoside (неиногенный ПАВ), Sodium Lauryl Ether Sulfate (жесткий анионный ПАВ), Coco Betaine (амфотерный ПАВ), Glycerin (хумектант), Sodium Chloride (структурообразователь), Cocamide MIPA(стабилизатор), PPG-5-Ceteth-20 (эмульгатор),  Padina Pavonica Extract (хумектант), Cetyl Alcohol (эмолент), Prunus speciosa leaf extract (экстракт лепестков дикой сакуры), Carbomer (загуститель), Polyquaternium-16 (катионный полимер),  Keratin (белок), Parfum (отдушка), Ricinus communis seed oil (эмолент), Hydrolyzed wheat protein (растительный репарант,  среднемолекулярный белок), Hydroxypropyl Guar (загуститель), Citric Acid (растительный консервант), Phenoxyethanol (отдушка), CI 16255 (краситель)	ЕС	Высокая	Щадящий шампунь		Сухой 
Bielita Professional Organic Hair Care Шампунь с фитокератином мягкий бессульфатный 		Вода, кокамидопропилбетаин, натриевая соль карбоксилата лаурилглюкозы, лаурилглюкозид, кокоамфодиацетат динатрия, лаурилглюкозид, кокамидопропилбетаин, ПЭГ-120 триолеат метилглюкозы, кислота лимонная, бензиловый спирт, бензойная кислота, дигидроуксусная кислота, бензиловый спирт, бензоат натрия, сорбат калия, гидролизованный протеин сои, гидролизованный протеин кукурузы, гидролизованный протеин пшеницы, парфюмерная композиция, поликватерниум-10, глутамат диацетат тетранатрия, лимонен	РФ/СНГ	Средняя	Щадящий шампунь		Сухой 
Bioderma Node Shampooing fluide non detergent Мягкий шампунь-флюид бессульфатный		Aqua/​Water/​Eau, Caprylyl/​Capryl Glucoside, PEG-150 Distearate, PEG-6 Caprylic/​Capric Glycerides, PEG-15 Cocopolyamine, Sodium Lauroyl Oat Amino Acids, Lactic Acid, Sodium Citrate, Caprylyl Glycol, Quaternium-80, Propylene Glycol, Mannitol, Xylitol, Rhamnose, Phenoxyethanol, Tetrasodium EDTA, Ethylhexylglycerin, Fructooligosaccharides, Sodium Hydroxide, Fragrance (Parfum) 	ЕС	Высокая	Щадящий шампунь		Сухой 
CURL ROCK AND ROLL "Увлажнение и питание"   Шампунь для кудрявых и супер-кудрявых волос		Вода (Aqua); кокоил глутамат натрия (Sodium Cocoyl Glutamate); децил глюкозид (Decyl Glucoside); масло авокадо (Persea Gratissima (Avocado) Oil); пребиотик сорбитол (Sorbitol); провитамин В5 (D-panthenol); гидролизованный протеин пшеницы (Hydrolyzed Wheat Protein); экстракты опунции (Opuntia Ficus-indica Flower Extract), листа алоэ (Aloe Barbadensis Leaf Extract), семян льна (Linum Usitatissimum (Flax) Seed Extract); масло папайи (Papaya Seed Oil); цистеин (Cysteine); аргинин (L-Arginine); натриевая соль молочной кислоты (Sodium Lactate); соль аскорбиновой кислоты (Sodium Ascorbate); гелеобразователь из бурых водорослей (Sodium Carrageenan, Sodium Alginate); витамин Е (Tocopherols Blend); органический консервант шаромикс 708 (Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Glycerin); ароматизатор (Parfum); витамин А (Retinol).	РФ/СНГ	Высокая	Щадящий шампунь		Сухой 
DAVINES  NOUNOU SHAMPOO		Aqua / Water / Eau, Disodium Laureth Sulfosuccinate, Glycerin, Sodium Cocoyl Isethionate, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Betaine, Sodium Lauroyl Sarcosinate, Sodium Lauryl Sulfoacetate, Coco-glucoside, Glyceryl Oleate, Benzyl Alcohol, Panthenol, Phenethyl Benzoate, Acrylates/c10-30 Alkyl Acrylate Crosspolymer, Parfum / Fragrance, Glycol Distearate, Sodium Methyl 2-sulfolaurate, Sodium Benzoate, Dicaprylyl Ether, Disodium Edta, Buteth-3, Lauryl Alcohol, Polyquaternium-7, Polyquaternium-10, Amodimethicone, Sodium Benzotriazolyl Butylphenol Sulfonate, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide, Disodium 2-sulfolaurate, Solanum Lycopersicum Fruit Extract / Solanum Lycopersicum (Tomato) Fruit Extract, Citric Acid, C11-15 Pareth-7, Glyceryl Stearate, Alcohol, Sodium Chloride, Laureth-9, Trideceth-12, Linalool, Geraniol, Tris(Tetramethylhydroxypiperidinol) Citrate, Tributyl Citrate, Ci 19140 / Yellow 5, Ci 14700 / Red 4, Ci 61570 / Green 5	ЕС	Высокая	Щадящий шампунь		Сухой 
EPICA PROFESSIONAL Daily HairCare  Шампунь для волос для ежедневного использования, 		Aqua, Cocamidopropyl Betaine, Sodium Laureth Sulfate, Lauryl Glucoside, Glycerin, Coco-Glucoside (and) Glyceryl Oleate, Sodium Chloride, PEG-75 Lanolin, Citric Acid, Polyquaternium-10, Orbignya Speciosa Kernel Oil, Camellia Sinensis Leaf Extract, Acrylamidopropyltrimonium Chloride/Acrylamide Copolymer, Disodium EDTA, Benzoic Acid, Sorbic Acid, Dehydroacetic Acid, Benzyl Alcohol, Parfum.	РФ/СНГ	Высокая	Щадящий шампунь		Сухой 
Indigo  Style Organic Shampoo  Шампунь для волос органик цитрус		Aqua, Cocamidopropyl Betaine, Cocamide DEA , Sodium Lauroyl Sarcosinate, Polyquaternium 7, Aloe Barbadensis Leaf Juice, Shea Butter, Acrylic Сopolymer, Hydrolyzed Кeratin, Panthenol, Oryza Sativa Bran Oil, Citrus Limon Oil, Lime Blossom Oil, Citrus Рaradisi Оil, Triticum Vulgare (Wheat) Germ Oil, Epilobium Аngustifolium Еxtract, Betula Аlba Вud Еxtract, Angelica Аrchangelica Root Extract,Citrus Aurantium Dulcis (Orange) Oil, Parfum, Citric Acid, Methylchloroisothiazolinone, Methylisothiazolinone	РФ/СНГ	Средняя	Щадящий шампунь		Сухой 
LA BIOSTHETIQUE Shampooing Lipokerine E Шампунь для чувствительной кожи головы против зуда и раздражения 		Aqua (Water), Decyl Glucoside, Sodium Laureth Sulfate, Sodium Lauroyl Oat Amino Acids, Peg-7 Glyceryl Cocoate, Peg-12 Dimethicone, Peg-4 Rapeseedamide, Dipropylene Glycol, Peg-150 Pentaerythrityl Tetrastearate, Panthenol, Sodium Benzoate, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Tetrasodium Edta, Parfum (Fragrance), Polysorbate 20, Boswellia Serrata Gum, Phenoxyethanol, Benzoic Acid, Hexyl Cinnamal, Linalool, Benzyl Salicylate, Ethylhexylglycerin, Hydroxycitronellal, Limonene, Alpha-isomethyl Ionone, Citronellol, Geraniol, Benzyl Benzoate, Benzyl Alcohol, Amyl Cinnamal, Citral, Eugenol, Coumarin, Farnesol, Benzyl Cinnamate	ЕС	Высокая	Щадящий шампунь		Сухой 
Macadamia Natural Oil Rejuvenating Shampoo		Aqua, Disodium Laureth Sulfosuccinate, Cocamidopropyl Betaine, Cocamide MIPA, Decyl Glucoside, Acrylates Copolymer, Glycol Distearate, Panthenol, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Glycerin, Argania Spinosa Kernel Oil, Triticum Vulgare Germ Oil, Tocopheryl Acetate, Macadamia Integrifolia Seed Oil, Camellia Oleifera Leaf Extract, Linum Usitatissimum Seed Extract, Guar Hydroxypropyltrimonium Chloride, Polysorbate 20, Cetyl Betaine, Sodium Lauroyl Lactylate, Glycereth-2 Cocoate, Polyquaternium-7, PEG-200 Hydrogenated Glyceryl Palmate, PEG-7 Glyceryl Cocoate, Citric Acid, Sodium Hydroxide, Disodium Edta, Phenethyl Alcohol, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate, Chlorphenesin, Caprylyl Glycol, Ethylhexylglycerin, Parfum, Linalool, Benzoic Acid, Hexyl Cinnamal, Limonene, CI 19140, CI 42090	США	Средняя	Щадящий шампунь		Сухой 
Maui Moisture Vanilla Bean Shampoo Шампунь с ванильными бобами		Aloe Barbadensis Leaf Juice, Aqua/Water/Eau, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Citric Acid, Glycol Distearate, Coco-Glucoside, Cocos Nucifera (Coconut) Water, Vanilla Planifolia Fruit Extract, Theobroma Cacao (Cocoa) Seed Butter, Aleurites Moluccanus Seed Oil, Polyquaternium-6, Polyquaternium-10, Acrylates Crosspolymer-4, Laureth-4, PEG-150 Pentaerythrityl Tetrastearate, PPG-2 Hydroxyethyl Cocamide, Guar Hydroxypropyltrimonium Chloride, Glycerin, Hexylene Glycol, Sodium Hydroxide, Sodium Citrate, Sodium Benzoate, Formic Acid, Leuconostoc/Radish Root Ferment Filtrate, Benzyl Alcohol, Phenoxyethanol, Salicylic Acid, Sorbic Acid, Sodium Bicarbonate, Sodium Sulfate, Sodium Chloride, Glyoxal, Isopropyl Alcohol, Parfum/Fragrance	UK	Средняя	Щадящий шампунь		Сухой 
